date,day_of_week,item,meal,prepared_qty,consumed_qty,waste_qty,waste_reason,stock_level,days_to_expiry,customer_count
2026-03-31,Tuesday,Bread,breakfast,72,38,138.0,plate_waste,63,157,77
2026-03-31,Tuesday,Bread,dinner,115,63,138.0,plate_waste,63,157,129
2026-03-31,Tuesday,Bread,lunch,144,92,138.0,plate_waste,63,157,192
2026-03-31,Tuesday,Chicken,breakfast,144,87,296.0,overproduction,140,156,244
2026-03-31,Tuesday,Chicken,dinner,230,148,296.0,overproduction,140,156,448
2026-03-31,Tuesday,Chicken,lunch,288,131,296.0,overproduction,140,156,313
2026-03-31,Tuesday,Rice,breakfast,129,203,488.0,overproduction,98,158,414
2026-03-31,Tuesday,Rice,dinner,550,332,488.0,overproduction,98,158,984
2026-03-31,Tuesday,Rice,lunch,688,418,488.0,overproduction,98,158,1335
2026-03-31,Tuesday,Spinach,breakfast,18,32,28.0,overproduction,53,158,92
2026-03-31,Tuesday,Spinach,dinner,77,49,28.0,overproduction,53,158,108
2026-03-31,Tuesday,Spinach,lunch,36,63,28.0,overproduction,53,158,149
2026-03-31,Tuesday,Vegetables,breakfast,45,65,105.0,overproduction,78,157,200
2026-03-31,Tuesday,Vegetables,dinner,72,120,105.0,overproduction,78,157,263
2026-03-31,Tuesday,Vegetables,lunch,240,135,105.0,overproduction,78,157,316
2026-04-01,Wednesday,Bread,breakfast,55,46,33.0,spoilage,63,156,98
2026-04-01,Wednesday,Bread,dinner,73,64,33.0,spoilage,63,156,175
2026-04-01,Wednesday,Bread,lunch,98,83,33.0,spoilage,63,156,172
2026-04-01,Wednesday,Chicken,breakfast,97,88,58.0,overproduction,140,155,250
2026-04-01,Wednesday,Chicken,dinner,186,158,58.0,overproduction,140,155,477
2026-04-01,Wednesday,Chicken,lunch,203,182,58.0,overproduction,140,155,386
2026-04-01,Wednesday,Rice,breakfast,232,221,65.0,plate_waste,98,157,555
2026-04-01,Wednesday,Rice,dinner,359,340,65.0,plate_waste,98,157,897
2026-04-01,Wednesday,Rice,lunch,459,424,65.0,plate_waste,98,157,1249
2026-04-01,Wednesday,Spinach,breakfast,43,38,18.0,damaged,53,157,106
2026-04-01,Wednesday,Spinach,dinner,44,41,18.0,damaged,53,157,126
2026-04-01,Wednesday,Spinach,lunch,66,56,18.0,damaged,53,157,118
2026-04-01,Wednesday,Vegetables,breakfast,71,67,22.0,damaged,78,156,180
2026-04-01,Wednesday,Vegetables,dinner,119,112,22.0,damaged,78,156,281
2026-04-01,Wednesday,Vegetables,lunch,161,150,22.0,damaged,78,156,393
2026-04-02,Thursday,Bread,breakfast,57,51,32.0,damaged,63,155,149
2026-04-02,Thursday,Bread,dinner,120,108,32.0,damaged,63,155,291
2026-04-02,Thursday,Bread,lunch,88,74,32.0,damaged,63,155,149
2026-04-02,Thursday,Chicken,breakfast,107,94,69.0,damaged,140,154,274
2026-04-02,Thursday,Chicken,dinner,174,148,69.0,damaged,140,154,310
2026-04-02,Thursday,Chicken,lunch,196,166,69.0,damaged,140,154,463
2026-04-02,Thursday,Rice,breakfast,245,208,161.0,damaged,98,156,494
2026-04-02,Thursday,Rice,dinner,404,352,161.0,damaged,98,156,806
2026-04-02,Thursday,Rice,lunch,500,428,161.0,damaged,98,156,916
2026-04-02,Thursday,Spinach,breakfast,50,46,23.0,damaged,53,156,134
2026-04-02,Thursday,Spinach,dinner,92,77,23.0,damaged,53,156,199
2026-04-02,Thursday,Spinach,lunch,60,56,23.0,damaged,53,156,176
2026-04-02,Thursday,Vegetables,breakfast,72,62,30.0,plate_waste,78,155,148
2026-04-02,Thursday,Vegetables,dinner,172,161,30.0,plate_waste,78,155,324
2026-04-02,Thursday,Vegetables,lunch,181,172,30.0,plate_waste,78,155,530
2026-04-03,Friday,Bread,breakfast,41,37,24.0,overproduction,63,154,108
2026-04-03,Friday,Bread,dinner,86,74,24.0,overproduction,63,154,148
2026-04-03,Friday,Bread,lunch,64,56,24.0,overproduction,63,154,133
2026-04-03,Friday,Chicken,breakfast,71,67,41.0,damaged,140,153,159
2026-04-03,Friday,Chicken,dinner,116,106,41.0,damaged,140,153,238
2026-04-03,Friday,Chicken,lunch,172,145,41.0,damaged,140,153,307
2026-04-03,Friday,Rice,breakfast,173,152,87.0,damaged,98,155,482
2026-04-03,Friday,Rice,dinner,270,248,87.0,damaged,98,155,548
2026-04-03,Friday,Rice,lunch,359,315,87.0,damaged,98,155,816
2026-04-03,Friday,Spinach,breakfast,3,3,6.0,overproduction,53,155,6
2026-04-03,Friday,Spinach,dinner,60,56,6.0,overproduction,53,155,146
2026-04-03,Friday,Spinach,lunch,39,37,6.0,overproduction,53,155,79
2026-04-03,Friday,Vegetables,breakfast,81,74,34.0,damaged,78,154,234
2026-04-03,Friday,Vegetables,dinner,123,111,34.0,damaged,78,154,272
